LOTID;DATEADDED;CATEGORY;COLOR;PRICE;QTY;BULK;IMAGE;DESCRIPTION;CONDITION;ITEMTYPE;ITEMID;SALE;STOCKROOM;ITEMWEIGHT;DATELASTSOLD;BASECURRENCYCODE;CATEGORYNAME;CATEGORYNAMEUNDER;COLORNAME;ITEMTYPENAME;ITEMIDNAME;BOX;LINE;ROW;DIMENSIONX;DIMENSIONY;DIMENSIONZ
;05/01/2022;5;9;0,17;29;1;;;U;P;2357;;Y;1,25;;EUR;Brick;;Light Gray;Part;Brick 2 x 2 Corner;Etagere Indigo;A;5;2;2;1
;05/01/2022;5;86;0,12;2;1;;;U;P;2357;;Y;1,25;;EUR;Brick;;Light Bluish Gray;Part;Brick 2 x 2 Corner;Etagere Indigo;A;5;2;2;1
;05/01/2022;26;9;0,11;12;1;;;U;P;2420;;Y;0,54;;EUR;Plate;;Light Gray;Part;Plate 2 x 2 Corner;Etagere Indigo;A;5;2;2;0
;05/01/2022;26;10;0,17;10;1;;;U;P;2420;;Y;0,54;;EUR;Plate;;Dark Gray;Part;Plate 2 x 2 Corner;Etagere Indigo;A;5;2;2;0
;05/01/2022;26;86;0,17;23;1;;;U;P;2420;;Y;0,54;;EUR;Plate;;Light Bluish Gray;Part;Plate 2 x 2 Corner;Etagere Indigo;A;5;2;2;0
;05/01/2022;26;9;0,27;4;1;;;U;P;2445;;Y;3,5;;EUR;Plate;;Light Gray;Part;Plate 2 x 12;Etagere Indigo;A;5;2;12;0
;05/01/2022;26;86;0,22;10;1;;;U;P;2445;;Y;3,5;;EUR;Plate;;Light Bluish Gray;Part;Plate 2 x 12;Etagere Indigo;A;5;2;12;0
;05/01/2022;32;9;0,41;30;1;;;U;P;2449;;Y;1,88;;EUR;Slope, Inverted;;Light Gray;Part;Slope, Inverted 75 2 x 1 x 3;Etagere Indigo;A;5;2;1;3
;05/01/2022;5;9;0,24;14;1;;;U;P;2456;;Y;3,74;;EUR;Brick;;Light Gray;Part;Brick 2 x 6;Etagere Indigo;A;5;2;6;1
;05/01/2022;5;86;0,17;2;1;;;U;P;2456;;Y;3,74;;EUR;Brick;;Light Bluish Gray;Part;Brick 2 x 6;Etagere Indigo;A;5;2;6;1
;05/01/2022;5;9;0,71;3;1;;;U;P;2465;;Y;6,2;;EUR;Brick;;Light Gray;Part;Brick 1 x 16;Etagere Indigo;A;5;1;16;1
;05/01/2022;5;86;0,67;1;1;;;U;P;2465;;Y;6,2;;EUR;Brick;;Light Bluish Gray;Part;Brick 1 x 16;Etagere Indigo;A;5;1;16;1
;05/01/2022;5;9;0,25;38;1;;;U;P;3001;;Y;2,32;;EUR;Brick;;Light Gray;Part;Brick 2 x 4;Etagere Indigo;A;5;2;4;1
;05/01/2022;5;86;0,71;11;1;;;U;P;3001;;Y;2,32;;EUR;Brick;;Light Bluish Gray;Part;Brick 2 x 4;Etagere Indigo;A;5;2;4;1
;05/01/2022;5;9;0,16;27;1;;;U;P;3002;;Y;1,92;;EUR;Brick;;Light Gray;Part;Brick 2 x 3;Etagere Indigo;A;5;2;3;1
;05/01/2022;5;86;0,1;4;1;;;U;P;3002;;Y;1,92;;EUR;Brick;;Light Bluish Gray;Part;Brick 2 x 3;Etagere Indigo;A;5;2;3;1
;05/01/2022;5;9;0,12;79;1;;;U;P;3003;;Y;1,35;;EUR;Brick;;Light Gray;Part;Brick 2 x 2;Etagere Indigo;A;5;2;2;1
;05/01/2022;5;86;0,16;11;1;;;U;P;3003;;Y;1,35;;EUR;Brick;;Light Bluish Gray;Part;Brick 2 x 2;Etagere Indigo;A;5;2;2;1
;05/01/2022;5;9;0,13;29;1;;;U;P;3004;;Y;0,83;;EUR;Brick;;Light Gray;Part;Brick 1 x 2;Etagere Indigo;A;5;1;2;1
;05/01/2022;5;86;0,12;7;1;;;U;P;3004;;Y;0,83;;EUR;Brick;;Light Bluish Gray;Part;Brick 1 x 2;Etagere Indigo;A;5;1;2;1
;05/01/2022;5;9;0,14;30;1;;;U;P;3005;;Y;0,44;;EUR;Brick;;Light Gray;Part;Brick 1 x 1;Etagere Indigo;A;5;1;1;1
;05/01/2022;5;86;0,13;4;1;;;U;P;3005;;Y;0,44;;EUR;Brick;;Light Bluish Gray;Part;Brick 1 x 1;Etagere Indigo;A;5;1;1;1
;05/01/2022;5;9;0,38;12;1;;;U;P;3006;;Y;5,75;;EUR;Brick;;Light Gray;Part;Brick 2 x 10;Etagere Indigo;A;5;2;10;0
;05/01/2022;5;9;0,35;8;1;;;U;P;3007;;Y;4,75;;EUR;Brick;;Light Gray;Part;Brick 2 x 8;Etagere Indigo;A;5;2;8;1
;05/01/2022;5;86;0,32;2;1;;;U;P;3007;;Y;4,75;;EUR;Brick;;Light Bluish Gray;Part;Brick 2 x 8;Etagere Indigo;A;5;2;8;1
;05/01/2022;5;9;0,37;5;1;;;U;P;3008;;Y;3,21;;EUR;Brick;;Light Gray;Part;Brick 1 x 8;Etagere Indigo;A;5;1;8;0
;05/01/2022;5;86;0,48;3;1;;;U;P;3008;;Y;3,21;;EUR;Brick;;Light Bluish Gray;Part;Brick 1 x 8;Etagere Indigo;A;5;1;8;0
;05/01/2022;5;9;0,3;18;1;;;U;P;3009;;Y;2,42;;EUR;Brick;;Light Gray;Part;Brick 1 x 6;Etagere Indigo;A;5;1;6;1
;05/01/2022;5;86;0,24;3;1;;;U;P;3009;;Y;2,42;;EUR;Brick;;Light Bluish Gray;Part;Brick 1 x 6;Etagere Indigo;A;5;1;6;1
;05/01/2022;5;9;0,23;42;1;;;U;P;3010;;Y;1,64;;EUR;Brick;;Light Gray;Part;Brick 1 x 4;Etagere Indigo;A;5;1;4;1
;05/01/2022;5;86;0,3;11;1;;;U;P;3010;;Y;1,64;;EUR;Brick;;Light Bluish Gray;Part;Brick 1 x 4;Etagere Indigo;A;5;1;4;1
;05/01/2022;26;9;0,13;59;1;;;U;P;3020;;Y;1,2;;EUR;Plate;;Light Gray;Part;Plate 2 x 4;Etagere Indigo;A;5;2;4;0
;05/01/2022;26;86;0,23;41;1;;;U;P;3020;;Y;1,2;;EUR;Plate;;Light Bluish Gray;Part;Plate 2 x 4;Etagere Indigo;A;5;2;4;0
;05/01/2022;26;9;0,1;27;1;;;U;P;3021;;Y;0,93;;EUR;Plate;;Light Gray;Part;Plate 2 x 3;Etagere Indigo;A;5;2;3;0
;05/01/2022;26;86;0,13;31;1;;;U;P;3021;;Y;0,93;;EUR;Plate;;Light Bluish Gray;Part;Plate 2 x 3;Etagere Indigo;A;5;2;3;0
;05/01/2022;26;9;0,07;72;1;;;U;P;3022;;Y;0,64;;EUR;Plate;;Light Gray;Part;Plate 2 x 2;Etagere Indigo;A;5;2;2;0
;05/01/2022;26;86;0,1;22;1;;;U;P;3022;;Y;0,64;;EUR;Plate;;Light Bluish Gray;Part;Plate 2 x 2;Etagere Indigo;A;5;2;2;0
;05/01/2022;26;9;0,07;17;1;;;U;P;3023;;Y;0,36;;EUR;Plate;;Light Gray;Part;Plate 1 x 2;Etagere Indigo;A;5;1;2;0
;05/01/2022;26;10;0,15;9;1;;;U;P;3023;;Y;0,36;;EUR;Plate;;Dark Gray;Part;Plate 1 x 2;Etagere Indigo;A;5;1;2;0
;05/01/2022;26;86;0,07;60;1;;;U;P;3023;;Y;0,36;;EUR;Plate;;Light Bluish Gray;Part;Plate 1 x 2;Etagere Indigo;A;5;1;2;0
;05/01/2022;26;9;2,26;3;1;;;U;P;3027;;Y;13,27;;EUR;Plate;;Light Gray;Part;Plate 6 x 16;Etagere Indigo;A;5;6;16;0
;05/01/2022;26;86;1,51;1;1;;;U;P;3027;;Y;13,27;;EUR;Plate;;Light Bluish Gray;Part;Plate 6 x 16;Etagere Indigo;A;5;6;16;0
;05/01/2022;26;9;1,81;1;1;;;U;P;3028;;Y;9,47;;EUR;Plate;;Light Gray;Part;Plate 6 x 12;Etagere Indigo;A;5;6;12;0
;05/01/2022;26;9;0,76;1;1;;;U;P;3029;;Y;6,76;;EUR;Plate;;Light Gray;Part;Plate 4 x 12;Etagere Indigo;A;5;4;12;0
;05/01/2022;26;86;0,67;1;1;;;U;P;3029;;Y;6,76;;EUR;Plate;;Light Bluish Gray;Part;Plate 4 x 12;Etagere Indigo;A;5;4;12;0
;05/01/2022;26;9;0,19;9;1;;;U;P;3031;;Y;2,22;;EUR;Plate;;Light Gray;Part;Plate 4 x 4;Etagere Indigo;A;5;4;4;0
;05/01/2022;26;86;0,11;4;1;;;U;P;3031;;Y;2,22;;EUR;Plate;;Light Bluish Gray;Part;Plate 4 x 4;Etagere Indigo;A;5;4;4;0
;05/01/2022;26;9;0,27;14;1;;;U;P;3032;;Y;3,3;;EUR;Plate;;Light Gray;Part;Plate 4 x 6;Etagere Indigo;A;5;4;6;0
;05/01/2022;26;86;0,19;9;1;;;U;P;3032;;Y;3,3;;EUR;Plate;;Light Bluish Gray;Part;Plate 4 x 6;Etagere Indigo;A;5;4;6;0
;05/01/2022;26;9;1,03;2;1;;;U;P;3033;;Y;7,95;;EUR;Plate;;Light Gray;Part;Plate 6 x 10;Etagere Indigo;A;5;6;10;0
